X,Y,Point,index,index_g,Node,Candidate,PT,graph
2151.1909180000002,1670.2866211,d,23,6_23,Node4,35,7,6
2169.71011355,1780.254455575,e,-1,6_-1,Node0,35,7,6
2389.1752930000002,1931.288208,a,12,6_12,Node4,36,7,6
2116.2600098,1747.8273926,b,21,6_21,Node1,36,7,6
1981.74560547,1680.3065186,c,22,6_22,Node3,36,7,6
2151.1909180000002,1670.2866211,d,23,6_23,Node2,36,7,6
2159.5929565675,1757.4271850750001,e,-1,6_-1,Node0,36,7,6
2389.1752930000002,1931.288208,a,12,6_12,Node4,37,7,6
2022.2142334,1771.6156006,b,20,6_20,Node2,37,7,6
2116.2600098,1747.8273926,c,21,6_21,Node1,37,7,6
1981.74560547,1680.3065186,d,22,6_22,Node3,37,7,6
2127.3487854175,1782.7594299500001,e,-1,6_-1,Node0,37,7,6
1805.012085,1912.9656982000001,a,19,6_19,Node2,38,7,6
2116.2600098,1747.8273926,b,21,6_21,Node3,38,7,6
1981.74560547,1680.3065186,c,22,6_22,Node4,38,7,6
2151.1909180000002,1670.2866211,d,23,6_23,Node1,38,7,6
2013.5521545675,1752.846557625,e,-1,6_-1,Node0,38,7,6
2389.1752930000002,1931.288208,a,12,6_12,Node2,39,7,6
2022.2142334,1771.6156006,b,20,6_20,Node3,39,7,6
1981.74560547,1680.3065186,c,22,6_22,Node1,39,7,6
2151.1909180000002,1670.2866211,d,23,6_23,Node4,39,7,6
2136.0815124675,1763.374237075,e,-1,6_-1,Node0,39,7,6
2470.9125977,1341.9418945,a,0,7_0,Node4,0,0,7
2520.0598145,1226.633667,b,1,7_1,Node2,0,0,7
2391.4555664,1294.0013428,c,2,7_2,Node1,0,0,7
2407.6206055000002,1204.9527588,d,3,7_3,Node3,0,0,7
2447.512146025,1266.882415775,e,-1,7_-1,Node0,0,0,7
2470.9125977,1341.9418945,a,0,7_0,Node1,1,7,7
2520.0598145,1226.633667,b,1,7_1,Node4,1,7,7
2391.4555664,1294.0013428,c,2,7_2,Node3,1,7,7
2580.4809569999998,1563.69384766,d,11,7_11,Node2,1,7,7
2490.7272339,1356.56768799,e,-1,7_-1,Node0,1,7,7
2470.9125977,1341.9418945,a,0,7_0,Node1,2,7,7
2391.4555664,1294.0013428,b,2,7_2,Node2,2,7,7
2407.6206055000002,1204.9527588,c,3,7_3,Node3,2,7,7
2580.4809569999998,1563.69384766,d,11,7_11,Node4,2,7,7
2462.61743165,1351.14746094,e,-1,7_-1,Node0,2,7,7
2470.9125977,1341.9418945,a,0,7_0,Node1,3,7,7
2520.0598145,1226.633667,b,1,7_1,Node2,3,7,7
2407.6206055000002,1204.9527588,c,3,7_3,Node3,3,7,7
2580.4809569999998,1563.69384766,d,11,7_11,Node4,3,7,7
2494.768493675,1334.30554199,e,-1,7_-1,Node0,3,7,7
2520.0598145,1226.633667,a,1,7_1,Node4,4,7,7
2391.4555664,1294.0013428,b,2,7_2,Node3,4,7,7
2407.6206055000002,1204.9527588,c,3,7_3,Node1,4,7,7
2580.4809569999998,1563.69384766,d,11,7_11,Node2,4,7,7
2474.90423585,1322.320404065,e,-1,7_-1,Node0,4,7,7
2470.9125977,1341.9418945,a,0,7_0,Node4,5,7,7
2391.4555664,1294.0013428,b,2,7_2,Node1,5,7,7
2407.6206055000002,1204.9527588,c,3,7_3,Node3,5,7,7
2216.8630371,1537.87011719,d,12,7_12,Node2,5,7,7
2371.712951675,1344.6915283225,e,-1,7_-1,Node0,5,7,7
2520.0598145,1226.633667,a,1,7_1,Node4,6,7,7
2391.4555664,1294.0013428,b,2,7_2,Node1,6,7,7
2407.6206055000002,1204.9527588,c,3,7_3,Node3,6,7,7
2216.8630371,1537.87011719,d,12,7_12,Node2,6,7,7
2383.999755875,1315.8644714475001,e,-1,7_-1,Node0,6,7,7
2470.9125977,1341.9418945,a,0,7_0,Node4,7,7,7
2520.0598145,1226.633667,b,1,7_1,Node1,7,7,7
2391.4555664,1294.0013428,c,2,7_2,Node3,7,7,7
2216.8630371,1537.87011719,d,12,7_12,Node2,7,7,7
2399.822753925,1350.1117553725,e,-1,7_-1,Node0,7,7,7
2470.9125977,1341.9418945,a,0,7_0,Node3,8,7,7
2520.0598145,1226.633667,b,1,7_1,Node1,8,7,7
